Quarter,MarketCap,EnterpriseValue,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio,TotalRevenue,CostOfRevenue,GrossProfit,OperatingExpense,OperatingIncome,NetNonOperatingInterestIncomeExpense,OtherIncomeExpense,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,TotalAssets,TotalLiabilitiesNetMinorityInterest,TotalEquityGrossMinorityInterest,TotalCapitalization,CommonStockEquity,CapitalLeaseObligations,NetTangibleAssets,WorkingCapital,InvestedCapital,TangibleBookValue,TotalDebt,NetDebt,ShareIssued,OrdinarySharesNumber,OperatingCashFlow,InvestingCashFlow,FinancingCashFlow,EndCashPosition,InterestPaidSupplementalData,CapitalExpenditure,IssuanceOfCapitalStock,IssuanceOfDebt,RepaymentOfDebt,FreeCashFlow,NormalizedIncomeYoY,DilutedNIAvailtoComStockholdersYoY,NetIncomeCommonStockholdersYoY,PretaxIncomeYoY,TotalOperatingIncomeAsReportedYoY,OperatingIncomeYoY,OperatingIncomeQoQ,EBITYoY,EBITQoQ,FreeCashFlowYoY,FreeCashFlowQoQ,NormalizedEBITDAYoY,EBITDAYoY,EBITDAQoQ,OperatingCashFlowYoY,OperatingCashFlowQoQ,OperatingExpenseYoY,OperatingExpenseQoQ,ReconciledCostOfRevenueYoY,CostOfRevenueYoY,CostOfRevenueQoQ,GrossProfitYoY,GrossProfitQoQ,EndCashPositionYoY,EndCashPositionQoQ,TotalExpensesYoY,TotalExpensesQoQ,TotalRevenueYoY,TotalRevenueQoQ,MarketCapYoY,MarketCapQoQ,EnterpriseValueYoY,EnterpriseValueQoQ,GrossMargin,OperatingMargin,NetMargin,EV2GrossIncome,EV2OperatingIncome,EV2NetIncome,EV2FreeCashFlow,EV2OperatingCashFlow,EV2TotalRevenue,Ticker,PeRatio,ForwardPeRatio,InterestIncome,TreasurySharesNumber,IncomeTaxPaidSupplementalData,InterestIncomeYoY,AverageDilutionEarnings,RentExpenseSupplemental,PegRatio,RepurchaseOfCapitalStock,PreferredStockEquity,PreferredSharesNumber,EarningsFromEquityInterestNetOfTax,OtherCashAdjustmentInsideChangeinCash
06/20/2022,3204975713.0,6215975713.0,0.252,1.3659999999999999,0.5,-62.16,12425000000.0,11257000000.0,1168000000.0,1373000000.0,-205000000.0,-200000000.0,42000000.0,-363000000.0,1000000.0,-364000000.0,-364000000.0,,,,,-205000000.0,12630000000.0,-364000000.0,-380200000.0,200000000.0,-200000000.0,-163000000.0,-100000000.0,11257000000.0,63000000.0,-364000000.0,27000000.0,27000000.0,-127000000.0,0.4,10800000.0,,,,,,,,,,,,,,,-3839000000.0,-489000000.0,4901000000.0,2756000000.0,,-40000000.0,0.0,14277000000.0,-9239000000.0,-3879000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.400402414486923,-1.6498993963782695,-2.921529175050302,0.1879029220717935,-0.03297953683623088,-0.05839791156854541,-0.6240371872572662,-0.6176021556794651,1.9988816838544814,OPEN,,,,,,,,,,,,,,
03/31/2022,5388245128.0,10282245128.0,0.639,2.397,1.996,88.64,5151000000.0,4616000000.0,535000000.0,417000000.0,118000000.0,-68000000.0,-22000000.0,28000000.0,0.0,28000000.0,28000000.0,0.05,0.04,619137000.0,640785000.0,118000000.0,5033000000.0,28000000.0,28000000.0,68000000.0,-68000000.0,96000000.0,,4616000000.0,20000000.0,28000000.0,,,116000000.0,0.01,0.0,8272000000.0,5925000000.0,2347000000.0,5415000000.0,2347000000.0,49000000.0,2277000000.0,5265000000.0,8085000000.0,2277000000.0,5787000000.0,3426000000.0,622918512.0,622918512.0,1550000000.0,-38000000.0,-1334000000.0,2756000000.0,68000000.0,-10000000.0,0.0,2337000000.0,-3663000000.0,1540000000.0,-110.79882619844601,-110.35365114112025,-110.35365114112025,-110.35725118553536,-148.2232983918756,-148.2232983918756,-215.5220519849234,-137.01661506190644,-181.40767436930253,-476.668101592768,1452.0125773486789,-150.1487168845542,,,-482.99312836200016,1314.775735227003,21.991533729050076,11.571010801251095,609.9987387370759,609.9987387370759,30.014325235228473,450.7968537660092,96.97505228122884,26.237468434907317,6.904577191621413,407.3747264279428,28.25769578028868,589.3053953436089,34.77286416015129,-56.584251064206136,-40.131594949882846,-10.58634061845154,-24.384003606141356,10.38633275092215,2.2908173170258204,0.54358377014172,0.052031438011832624,0.011476092869899531,0.0027231406809931093,0.149772737454621,0.15074528769783282,0.500960630278411,OPEN,,,,,,,,,,,,,,
12/31/2021,9000148114.0,13597976114.0,1.995,3.8089999999999997,3.5580000000000003,-142.341,3821986000.0,3550378000.0,271608000.0,373753000.0,-102145000.0,-72625000.0,-15780000.0,-190550000.0,390000.0,-190940000.0,-190940000.0,-0.31,-0.31,612516000.0,612516000.0,-102145000.0,3924131000.0,-190940000.0,-190809330.0,72625000.0,-72625000.0,-117925000.0,,3550378000.0,22394000.0,-190940000.0,-179000.0,-179000.0,-95352000.0,0.27,-48330.0,9506000000.0,7258000000.0,2248000000.0,5064000000.0,2248000000.0,46000000.0,2176000000.0,4940000000.0,9311000000.0,2176000000.0,7109000000.0,5332000000.0,616026565.0,616026565.0,109558000.0,-44175000.0,668894000.0,2578000000.0,,-10332000.0,-67000.0,3758110000.0,-3054395000.0,99226000.0,151.93514618167237,117.49134317477674,117.49134317477674,116.62517194729602,54.47492589679995,54.47492589679995,49.31951408481588,52.06318504190845,811.1102526462181,-127.50806728839308,-102.75327899806905,69.52672190022402,,,-130.82294488849126,-103.050522769355,257.69602541894363,37.96918374579174,1586.4721334213689,1586.4721334213689,72.02568966477943,607.957774012772,34.13469373644988,71.23560637862597,39.86158152091061,1145.7163264658266,68.07420545400579,1435.6371993603498,68.64029185202311,-26.771177517602503,-27.803183275534042,10.63859909405791,4.245224262813329,7.106462451720126,-2.672563426448972,-4.985627890839997,0.019974148926498108,-0.007511779631296387,-0.014013114775500775,0.0072971153330561,0.008056934287978556,0.281070209857555,OPEN,,,,,,,,,,,,,,
09/30/2021,12466128733.0,13044219733.0,4.838,5.156000000000001,5.756,-10825.079,2266354000.0,2063865000.0,202489000.0,270896000.0,-68407000.0,-43550000.0,55464000.0,-56493000.0,326000.0,-56819000.0,-56819000.0,-0.09,-0.09,603389000.0,603389000.0,-68407000.0,2334761000.0,-56819000.0,-59373270.0,43550000.0,-43550000.0,-12943000.0,,2063865000.0,11738000.0,-56819000.0,3499000.0,3499000.0,-4704000.0,0.27,944730.0,8968615000.0,6605754000.0,2362861000.0,4683265000.0,2362861000.0,47710000.0,2304209000.0,4581047000.0,8752805000.0,2304209000.0,6437654000.0,5031169000.0,607215233.0,607215233.0,-3591450000.0,-257802000.0,4003036000.0,1843251000.0,36625000.0,-12471000.0,0.0,5644198000.0,-1537469000.0,-3603921000.0,-5.8953767012828555,-29.725551309166015,-29.725551309166015,-30.0984929099953,52.43220357867059,52.43220357867059,-55.217246142465285,-81.08909733789193,-89.87158519121364,-4305.667973673155,88.24768589735889,-76.20396600566572,,,-4227.771328743664,88.29024415946097,235.73269879040254,-13.041691811866823,581.5889591218023,581.5889591218023,101.03592875615495,465.43799391248496,27.535255178842483,186.41523154831182,9.102515763847414,508.8192651698871,74.47821190474232,569.3050768871839,91.19122378701958,,18.400684961005624,,41.58437768263529,8.934570680485043,-3.0183722401707764,-2.4926820787926336,0.015523274227567016,-0.005244238551650592,-0.004330883805727439,-0.27628490425399677,-0.27532884860212437,0.17374392998505309,OPEN,,,,,,,,,,,,,,
06/30/2021,10528764033.0,9213036033.0,5.005,4.417,7.772,-76.98100000000001,1185386000.0,1026615000.0,158771000.0,311524000.0,-152753000.0,-15826000.0,24964000.0,-143615000.0,190000.0,-143805000.0,-143805000.0,-0.24,-0.24,588374000.0,588374000.0,-152753000.0,1338139000.0,-143805000.0,-161289960.0,15826000.0,-15826000.0,-127789000.0,,1026615000.0,8109000.0,-143805000.0,23952000.0,23952000.0,-143632000.0,0.27,6467040.0,4868261000.0,2450340000.0,2417921000.0,3013500000.0,2417921000.0,49592000.0,2379222000.0,2928572000.0,4704378000.0,2379222000.0,2336049000.0,728642000.0,593838919.0,593838919.0,-1907401000.0,-148736000.0,1562417000.0,1689467000.0,11435000.0,-7056000.0,0.0,2537645000.0,-984330000.0,-1914457000.0,187.97633769139657,157.16661599814017,157.16661599814017,157.19018624641834,293.1663749613919,293.1663749613919,-37.574122887676495,231.48897535667965,-50.72587268597957,-476.1980836949004,368.25641803310765,522.4032586558045,,,-471.11495918982814,371.30417808439194,233.4446513818423,-8.86501066328874,49.81546961487217,49.81546961487217,57.906272783484226,190.92791439146845,63.45900424165054,153.786136501904,-22.61464547013151,71.84732091144105,34.8972598942104,60.22475524683474,58.62802666759448,,-15.164554506707207,,-19.884105516863297,13.39403367341946,-12.886350943911943,-12.115462811269916,0.017233298494795976,-0.016580093625256313,-0.01558823817529728,-0.20779870969164155,-0.20703283837900083,0.12866399260288228,OPEN,,,,,,,,,,,,,,
03/31/2021,12410807737.0,11499635737.0,0.897,7.757000000000001,15.389000000000001,-46.636,747274000.0,650142000.0,97132000.0,341827000.0,-244695000.0,-10999000.0,-14648000.0,-270342000.0,94000.0,-270436000.0,-270436000.0,-0.48,-0.48,565381000.0,565381000.0,-244695000.0,991969000.0,-270436000.0,-259287440.0,10999000.0,-10999000.0,-259343000.0,,650142000.0,12759000.0,-270436000.0,-15272000.0,-15272000.0,-231312000.0,0.27,-4123440.0,3271712000.0,888151000.0,2383561000.0,2520034000.0,2383561000.0,49731000.0,2344512000.0,2499607000.0,3116597000.0,2344512000.0,782767000.0,,585691729.0,585691729.0,-404707000.0,-25287000.0,1107653000.0,2183187000.0,9091000.0,-4141000.0,886067000.0,704047000.0,-453806000.0,-408848000.0,,,,,,,270.0547456294235,,234.42037395228886,,13.343461338005522,,,,,13.859887520643255,,227.14161299275523,,,208.8252478375079,,153.17867848299232,,45.01138471021463,,214.9007968001016,,200.2475028728012,,0.9793200205481023,,-6.4343415985467916,12.998177375367002,-32.745017222598406,-36.177091669186936,0.008446528413719963,-0.021278500084371845,-0.023508744640508606,-0.03555312614681649,-0.03519302778416346,0.06498240614662697,OPEN,,,,,,,,,,,,,,
12/31/2020,12290444949.0,12290444949.0,,,49.382,-179.885,248886000.0,210521000.0,38365000.0,104489000.0,-66124000.0,-10413000.0,-11426000.0,-87963000.0,-171000.0,-87792000.0,-87792000.0,-0.49,-0.49,178975000.0,178975000.0,-66124000.0,315010000.0,-87792000.0,-75737479.622,10413000.0,-10413000.0,-77550000.0,,210521000.0,9226000.0,-87792000.0,-12078000.0,-12078000.0,-56246000.0,0.002,-23479.622000000003,2175582000.0,575575000.0,1600007000.0,1735474000.0,1600007000.0,67341000.0,1560378000.0,1659722000.0,2081796000.0,1560378000.0,549130000.0,,540714692.0,540714692.0,-355443000.0,28954000.0,1188458000.0,1505528000.0,,-5273000.0,2241000.0,435720000.0,-226307000.0,-360716000.0,,,,,,,47.34496512690242,,13.307618129218902,,-520.944778975867,,,,,-508.5223028032227,,29.49757089034305,,,-30.47569038513616,,7.131886850409091,,133.93783631337607,,-17.857049727502673,,-26.498391969593605,,,,,15.414687849055392,-26.567986949848528,-35.3426870133314,0.0031215306003320514,-0.0053801144119993895,-0.007157023229428079,-0.029349303584761535,-0.02892027111100809,0.02025036530677031,OPEN,,,,,,,,,,,,,,
09/30/2020,,,,,,,338613000.0,302802000.0,35811000.0,80688000.0,-44877000.0,-12376000.0,-23565000.0,-80818000.0,35000.0,-80853000.0,-80853000.0,-0.149,-0.149,544422565.0,544422565.0,-44877000.0,383490000.0,-80853000.0,-63092830.0,12376000.0,-12376000.0,-68442000.0,,302802000.0,24345000.0,-80853000.0,-24329000.0,-24329000.0,-19768000.0,0.27,-6568830.0,,,,,,,,,,,,,,,87007000.0,18100000.0,-127253000.0,643559000.0,7644000.0,-1315000.0,0.0,173481000.0,-300442000.0,85692000.0,,,,,,,15.507567178008856,,77.5408560311284,,-83.16119600075457,,,,,-83.07141536875079,,-13.634320210648,,,-55.81164912813223,,-34.380840693370466,,-3.3266987629655778,,-50.75120813583004,,-54.23078638654712,,,,,10.575790061220331,-13.253182837044058,-23.86736480879352,,,,,,,OPEN,,,,,,,,,,,,,,
06/30/2020,,,,,,,739827000.0,685253000.0,54574000.0,93426000.0,-38852000.0,-17290000.0,302000.0,-55840000.0,79000.0,-55919000.0,-55919000.0,-0.10300000000000001,-0.10300000000000001,544422565.0,544422565.0,-38852000.0,778679000.0,-55919000.0,-56008060.0,17290000.0,-17290000.0,-38550000.0,,685253000.0,15595000.0,-55919000.0,122000.0,122000.0,-23077000.0,0.27,32940.0,,,,,,,,,,,,,,,513965000.0,-13768000.0,-553629000.0,665705000.0,15147000.0,-5069000.0,0.0,162329000.0,-715036000.0,508896000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.37658939184431,-5.2514979853398165,-7.547710478260458,,,,,,,OPEN,,,,,,,,,,,,,,
03/31/2020,,,,,,,1255795000.0,1164748000.0,91047000.0,127059000.0,-36012000.0,-27727000.0,1663000.0,-62076000.0,120000.0,-62196000.0,-62196000.0,-0.114,-0.114,544422565.0,544422565.0,-36012000.0,1291807000.0,-62196000.0,-61457240.0,27727000.0,-27727000.0,-34349000.0,,1164748000.0,13182000.0,-62196000.0,-1012000.0,-1012000.0,-20155000.0,0.27,-273240.0,,,,,,,,,,,,,,,436382000.0,-55152000.0,-346915000.0,719137000.0,25186000.0,-5684000.0,0.0,662268000.0,-1008407000.0,430698000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.250148312423605,-2.8676655027293467,-4.943163494041623,,,,,,,OPEN,,,,,,,,,,,,,,
