Quarter,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio,TotalRevenue,CostOfRevenue,GrossProfit,OperatingExpense,OperatingIncome,NetNonOperatingInterestIncomeExpense,OtherIncomeExpense,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,TotalAssets,TotalLiabilitiesNetMinorityInterest,TotalEquityGrossMinorityInterest,TotalCapitalization,CommonStockEquity,NetTangibleAssets,WorkingCapital,InvestedCapital,TangibleBookValue,TotalDebt,NetDebt,ShareIssued,OrdinarySharesNumber,OperatingCashFlow,InvestingCashFlow,FinancingCashFlow,EndCashPosition,CapitalExpenditure,RepaymentOfDebt,FreeCashFlow,PretaxIncomeYoY,PretaxIncomeQoQ,OperatingIncomeYoY,OperatingIncomeQoQ,EBITYoY,EBITQoQ,FreeCashFlowYoY,FreeCashFlowQoQ,OperatingCashFlowYoY,OperatingCashFlowQoQ,GrossProfitYoY,GrossProfitQoQ,EndCashPositionYoY,EndCashPositionQoQ,TotalRevenueYoY,TotalRevenueQoQ,GrossMargin,OperatingMargin,NetMargin,EV2OperatingIncome,EV2NetIncome,EV2FreeCashFlow,EV2OperatingCashFlow,EV2TotalRevenue,MktCap2OperatingIncome,MktCap2NetIncome,MktCap2FreeCashFlow,MktCap2OperatingCashFlow,MktCap2TotalRevenue,Ticker
06/26/2022,736717017766.0,725729017766.0,96.48700000000001,59.523999999999994,1.6569999999999998,12.978,21.614,11.67,56.088,62190000000.0,45339000000.0,16851000000.0,7245000000.0,9606000000.0,-259000000.0,89000000.0,9436000000.0,976000000.0,8399000000.0,8399000000.0,,,,,-3514000000.0,52584000000.0,8399000000.0,8465345909.284,74000000.0,333000000.0,-259000000.0,9769000000.0,45339000000.0,3170000000.0,8399000000.0,13013000000.0,0.10300000000000001,-7654090.716,,,,,,,,,,,,,,13851000000.0,-7453000000.0,-6101000000.0,18020000000.0,-6935000000.0,-12538000000.0,6916000000.0,629.7757153905645,160.23166023166021,619.5505617977528,166.61115736885927,614.1081871345028,164.95796040141036,1035.632183908046,212.37579042457094,552.1186440677966,246.70838548185233,484.2926490984744,208.62637362637363,7.102526002971768,-0.11086474501108648,420.0702458605118,231.57389635316702,27.09599614085866,15.446213217559093,15.172857372567938,75.54955421257547,76.91066317994913,104.93479146414113,52.39542399581258,11.669545228589806,76.69342262814908,78.07513965303094,106.52357110555234,53.1887241185474,11.846229582987618,TSLA
03/31/2022,1116393600000.0,1107559600000.0,219.918,107.527,3.147,22.604,36.98,59.051,242.514,18756000000.0,13296000000.0,5460000000.0,1857000000.0,3603000000.0,-33000000.0,56000000.0,3626000000.0,346000000.0,3318000000.0,3318000000.0,3.2,2.86,1034000000.0,1157000000.0,3603000000.0,15153000000.0,3318000000.0,3318000000.0,28000000.0,61000000.0,-33000000.0,3687000000.0,13296000000.0,880000000.0,3318000000.0,4567000000.0,0.1,0.0,66038000000.0,30632000000.0,35406000000.0,36338000000.0,34085000000.0,32370000000.0,7595000000.0,37506000000.0,32370000000.0,7025000000.0,,1036000000.0,1036000000.0,3995000000.0,-2167000000.0,-1914000000.0,18040000000.0,-1781000000.0,-2068000000.0,2214000000.0,580.3001876172608,37.60910815939279,630.8316430020284,37.88748564867968,483.3860759493671,36.25277161862528,-281.6242821985234,-20.101046553590763,143.44911639244364,-12.8680479825518,146.50112866817156,12.646998143181348,1.7886362354003273,-0.5731922398589064,80.53710655501011,5.8524747446244145,29.110684580934098,19.209852847088932,19.332480272979314,307.39927837912853,305.44942084942085,500.2527551942186,277.2364455569462,59.050949029643846,309.8511240632806,307.8857142857143,504.2428184281843,279.44770963704633,59.52194497760716,TSLA
12/31/2021,1091653740000.0,1085684740000.0,343.11,121.95100000000001,2.67,25.631,40.352,61.272,305.482,17719000000.0,12872000000.0,4847000000.0,2234000000.0,2613000000.0,-46000000.0,68000000.0,2635000000.0,292000000.0,2321000000.0,2321000000.0,2.29,2.05,1015000000.0,1435000000.0,-10433000000.0,15106000000.0,2321000000.0,2321000000.0,25000000.0,71000000.0,-46000000.0,2706000000.0,12872000000.0,848000000.0,2321000000.0,3554000000.0,0.111,0.0,62131000000.0,30548000000.0,31583000000.0,34443000000.0,30189000000.0,28472000000.0,7395000000.0,35531000000.0,28472000000.0,8873000000.0,,1033000000.0,1033000000.0,4585000000.0,-1916000000.0,-1257000000.0,18144000000.0,-1814000000.0,-2706000000.0,2771000000.0,595.250659630607,40.01062699256111,354.4347826086956,27.153284671532845,332.96000000000004,34.76095617529881,49.78378378378379,109.60665658093798,51.87148062272276,45.69431204321576,134.60793804453047,32.431693989071036,-8.8287020752726,8.68575536120762,64.91995532390172,28.799883695573165,27.354816863254133,14.74688187820983,14.871042383881708,415.49358591657096,412.02456925996205,391.8025045110069,236.7905648854962,61.272348326655006,417.7779334098737,414.289844402277,393.95660050523276,238.0924187568157,61.609218353180204,TSLA
09/30/2021,778581920000.0,773485920000.0,401.80300000000005,104.167,2.401,21.081,31.389,56.225,279.33799999999997,13757000000.0,10097000000.0,3660000000.0,1605000000.0,2055000000.0,-116000000.0,-57000000.0,1882000000.0,223000000.0,1618000000.0,1618000000.0,1.62,1.44,998000000.0,1123000000.0,2004000000.0,11702000000.0,1618000000.0,1662880000.0,10000000.0,126000000.0,-116000000.0,2008000000.0,10097000000.0,761000000.0,1618000000.0,2820000000.0,0.12,-6120000.0,57834000000.0,29340000000.0,28494000000.0,32492000000.0,27053000000.0,26583000000.0,6951000000.0,33699000000.0,26583000000.0,10126000000.0,,1004000000.0,1004000000.0,3147000000.0,-1855000000.0,-1381000000.0,16694000000.0,-1825000000.0,-4297000000.0,1322000000.0,239.0990990990991,45.55297757153905,154.01730531520394,53.93258426966292,179.6657381615599,46.783625730994146,-3.7845705967976713,117.07717569786536,31.125000000000004,48.163841807909606,77.41153659718856,26.907073509015255,11.271079117509831,-0.7786032689450223,56.84642572112644,15.044321792941965,26.604637639020133,14.937849821908847,13.680308206731118,376.39217518248176,410.99145589798087,585.0876853252647,245.78516682554815,56.224897870175184,378.8719805352798,413.69921360255046,588.9424508320726,247.40448681283763,56.595327469651814,TSLA
06/30/2021,668824800000.0,664194800000.0,672.97,161.29,4.266,21.139,29.058000000000003,55.544,324.156,11958000000.0,9074000000.0,2884000000.0,1549000000.0,1335000000.0,-64000000.0,22000000.0,1293000000.0,115000000.0,1142000000.0,1142000000.0,1.18,1.02,971000000.0,1119000000.0,1312000000.0,10623000000.0,1142000000.0,1162930000.0,11000000.0,75000000.0,-64000000.0,1368000000.0,9074000000.0,681000000.0,1142000000.0,2072000000.0,0.09,-2070000.0,55146000000.0,28896000000.0,26250000000.0,31682000000.0,24804000000.0,24318000000.0,8322000000.0,32764000000.0,24318000000.0,11133000000.0,,984000000.0,984000000.0,2124000000.0,-1515000000.0,-1549000000.0,16825000000.0,-1515000000.0,-3467000000.0,609000000.0,762.0,142.5891181988743,308.25688073394497,170.79107505070994,327.5,116.45569620253164,53.015075376884425,-149.95898277276456,120.33195020746888,29.433272394881172,127.62430939226519,30.203160270880364,84.76828464748517,-5.066862269367489,98.11133200795229,15.102512272596014,24.11774544238167,11.164074259909684,10.812844957350727,497.5241947565543,513.6850734725444,1090.631855500821,312.7094161958569,55.543970563639405,500.9923595505618,517.2658932714617,1098.2344827586207,314.88926553672314,55.93115905669845,TSLA
03/31/2021,643216590000.0,637111590000.0,1043.641,163.93400000000003,4.314,22.938000000000002,28.941,61.326,508.469,10389000000.0,8174000000.0,2215000000.0,1722000000.0,493000000.0,-89000000.0,129000000.0,533000000.0,69000000.0,438000000.0,438000000.0,0.46,0.39,961000000.0,1133000000.0,594000000.0,9896000000.0,438000000.0,350130000.0,10000000.0,99000000.0,-89000000.0,632000000.0,8174000000.0,621000000.0,438000000.0,1152000000.0,0.13,13130000.0,52972000000.0,28507000000.0,24465000000.0,31036000000.0,23017000000.0,22512000000.0,9828000000.0,32451000000.0,22512000000.0,12511000000.0,,963000000.0,963000000.0,1641000000.0,-2582000000.0,-1016000000.0,17723000000.0,-2860000000.0,-4145000000.0,-1219000000.0,661.4285714285713,40.633245382585756,74.20494699646643,-14.26086956521739,164.43514644351464,1.1199999999999999,32.356134636264926,-165.89189189189187,-472.95454545454544,-45.64425306392845,79.49756888168558,7.212003872216845,107.35930735930737,-10.944173659615094,73.58395989974937,-3.304169769173492,21.320627586870728,4.745403792472808,5.130426412551738,1292.315598377282,1195.3313133208255,-522.6510172272355,388.2459414990859,61.32559341611319,1304.6989655172413,1206.7853470919324,-527.6592206726825,391.9662340036563,61.913234190008666,TSLA
12/31/2020,677443200000.0,678075200000.0,1341.578,175.43900000000002,1.422,25.49,42.258,63.111999999999995,545.515,10744000000.0,8678000000.0,2066000000.0,1491000000.0,575000000.0,-240000000.0,44000000.0,379000000.0,83000000.0,239000000.0,239000000.0,0.28,0.24,951000000.0,1124000000.0,575000000.0,10169000000.0,239000000.0,239000000.0,6000000.0,246000000.0,-240000000.0,625000000.0,8678000000.0,618000000.0,239000000.0,1243000000.0,0.21899999999999997,0.0,52148000000.0,28469000000.0,23679000000.0,30738000000.0,22225000000.0,21705000000.0,12469000000.0,32496000000.0,21705000000.0,13279000000.0,,960000000.0,960000000.0,3019000000.0,-1047000000.0,2692000000.0,19901000000.0,-1169000000.0,-4192000000.0,1850000000.0,117.81609195402298,-31.71171171171171,65.70605187319885,-28.924598269468483,81.68604651162791,-12.952646239554316,89.54918032786885,34.643377001455605,111.85964912280701,25.791666666666668,48.52624011502516,0.1454192922927775,193.3952528379773,32.64680397253883,45.50379198266522,22.494584425949153,19.22933730454207,5.351824274013403,3.5275502606105738,1179.2612173913044,1789.1166226912928,366.52713513513515,224.60258363696587,63.11198808637379,1178.1620869565218,1787.4490765171504,366.1855135135135,224.39324279562769,63.053164556962024,TSLA
09/30/2020,406701480000.0,413563480000.0,1036.256,114.943,1.01,15.937000000000001,41.262,47.151,317.637,8771000000.0,6708000000.0,2063000000.0,1254000000.0,809000000.0,-157000000.0,-97000000.0,555000000.0,186000000.0,331000000.0,331000000.0,0.32,0.27,937000000.0,1105000000.0,809000000.0,7962000000.0,331000000.0,331000000.0,6000000.0,163000000.0,-157000000.0,718000000.0,6708000000.0,584000000.0,331000000.0,1302000000.0,0.34,0.0,45691000000.0,28191000000.0,17500000000.0,25507000000.0,16031000000.0,15510000000.0,8442000000.0,28273000000.0,15510000000.0,15163000000.0,,947853721.0,947853721.0,2400000000.0,-1039000000.0,4450000000.0,15003000000.0,-1026000000.0,-3461000000.0,1374000000.0,215.3409090909091,270.0,209.96168582375478,147.4006116207951,98.89196675900277,124.37499999999999,296.6512702078522,245.22613065326632,217.46031746031744,148.96265560165975,73.21578505457599,62.82557221783741,157.5180226570546,64.75949923127608,39.155957480564815,45.31146454605699,23.520693193478508,9.223577699236118,6.327670733097708,511.2033127317676,745.1594234234234,300.99234352256184,172.31811666666667,47.151234750883596,502.72123609394316,732.7954594594595,295.99816593886464,169.45895,46.368883821685095,TSLA
06/30/2020,200844660000.0,207964660000.0,,370.37,3.4730000000000003,7.615,21.933000000000003,34.454,234.458,6036000000.0,4769000000.0,1267000000.0,940000000.0,327000000.0,-162000000.0,-15000000.0,150000000.0,21000000.0,104000000.0,104000000.0,0.11199999999999999,0.1,930000000.0,1035000000.0,327000000.0,5709000000.0,104000000.0,104000000.0,8000000.0,170000000.0,-162000000.0,320000000.0,4769000000.0,567000000.0,104000000.0,887000000.0,0.14,0.0,38135000000.0,26798000000.0,11337000000.0,19146000000.0,9855000000.0,9347000000.0,3066000000.0,22463000000.0,9347000000.0,15477000000.0,3993000000.0,931596365.0,931596365.0,964000000.0,-566000000.0,123000000.0,9106000000.0,-566000000.0,-2033000000.0,398000000.0,-140.55906616806055,114.28571428571428,-752.5252928381857,15.547703180212014,-261.7370559812385,33.89121338912134,-32.58796170047714,-143.21389793702497,11.624977130774914,-319.09090909090907,37.56099043913117,2.674230145867099,67.13491730345633,6.54030654030654,-4.9400315858635935,0.8521303258145364,20.990722332670643,5.417495029821073,2.485089463220676,635.9775535168196,1386.4310666666668,522.524271356784,215.73097510373444,34.45405235255136,614.2038532110091,1338.9644,504.634824120603,208.34508298755188,33.27446322067595,TSLA
03/31/2020,96940000000.0,105369000000.0,,91.743,1.0490000000000002,3.7739999999999996,14.648,17.605999999999998,133.042,5985000000.0,4751000000.0,1234000000.0,951000000.0,283000000.0,-159000000.0,-54000000.0,70000000.0,2000000.0,16000000.0,16000000.0,0.018000000000000002,0.016,915000000.0,995000000.0,283000000.0,5702000000.0,16000000.0,16000000.0,10000000.0,169000000.0,-159000000.0,239000000.0,4751000000.0,553000000.0,16000000.0,792000000.0,0.03,0.0,37250000000.0,26578000000.0,10672000000.0,18712000000.0,9173000000.0,8657000000.0,2907000000.0,21563000000.0,8657000000.0,15200000000.0,4310000000.0,925000000.0,925000000.0,-440000000.0,-480000000.0,2708000000.0,8547000000.0,-481000000.0,-2515000000.0,-921000000.0,-110.85655084277852,-59.77011494252874,-159.1604649218162,-18.443804034582133,-149.04385012691893,-30.523255813953487,-2.5189484747549478,-194.36475409836063,-31.20764970935232,-130.87719298245614,118.12024187661181,-11.286843997124372,218.58529788675853,26.006191950464398,31.785697299373066,-18.946370530877573,20.618212197159565,4.728487886382624,1.1695906432748537,372.3286219081272,1505.2714285714285,-114.4071661237785,-239.475,17.605513784461152,342.54416961130744,1384.857142857143,-105.25515743756786,-220.3181818181818,16.19715956558062,TSLA
